First Name,Last Name,Email,Courses,Grades,Marks
Martha,Thomas,chad71@example.org,"Math, History, English","B, B, F","81, 68, 68"
Michael,Thompson,jeffery60@example.net,"English, Math, History","A, F, A","64, 76, 92"
Joel,Sullivan,sheena15@example.org,"History, English, Math","A, C, D","95, 64, 68"
Christopher,Hancock,cooperrebecca@example.net,"Math, History, English","D, B, D","85, 92, 85"
Yvonne,Lang,charlottegordon@example.com,"History, English, Math","C, B, D","76, 82, 83"
Robert,Perez,ybenson@example.org,"Math, English, History","D, A, A","57, 51, 69"
Thomas,Sims,boydmichael@example.org,"Math, History, English","B, D, D","96, 71, 85"
Jose,Mckenzie,matthew83@example.com,"Math, History, English","B, A, C","51, 80, 97"
Lisa,Anderson,leahwagner@example.net,"Math, History, English","D, A, C","63, 53, 50"
Michael,Anderson,marquezjohn@example.org,"English, History, Math","A, A, A","55, 56, 68"
Jeffrey,Duran,xward@example.org,"Math, History, English","F, B, B","81, 83, 74"
Travis,Lang,pcuevas@example.org,"History, English, Math","F, C, F","55, 57, 79"
Kendra,Jones,hudsoncalvin@example.net,"English, History, Math","F, D, A","95, 97, 71"
Nicole,Harvey,lkennedy@example.net,"Math, History, English","C, C, B","79, 72, 94"
David,Taylor,rowens@example.org,"History, Math, English","D, F, B","64, 96, 86"
Jessica,Torres,istanley@example.com,"Math, English, History","F, D, F","90, 73, 67"
Christopher,Frazier,nsmith@example.org,"English, Math, History","D, F, D","54, 57, 69"
Tyler,Baldwin,rosscaitlin@example.com,"Math, English, History","F, C, D","62, 71, 92"
Catherine,Chavez,toniware@example.org,"History, Math, English","F, B, C","61, 64, 81"
James,Woods,michelle63@example.net,"History, English, Math","C, C, D","63, 68, 75"
Crystal,Adams,xscott@example.com,"Math, History, English","B, C, C","82, 72, 98"
Jacqueline,Ramos,brownstephanie@example.org,"Math, History, English","F, C, B","75, 80, 97"
John,Douglas,richardmoore@example.com,"English, History, Math","B, D, D","70, 74, 64"
Jeffrey,Smith,michelle46@example.org,"History, English, Math","C, B, F","62, 70, 77"
Raymond,Rosales,jonathan39@example.com,"English, History, Math","F, A, F","90, 98, 80"
Craig,Lewis,raymond83@example.com,"English, Math, History","B, A, C","50, 58, 70"
Jessica,Brown,kimberlymiller@example.com,"History, Math, English","D, F, C","52, 65, 71"
Thomas,Braun,aprilsmith@example.org,"English, Math, History","C, A, B","87, 76, 85"
Christy,Dixon,ymcdonald@example.com,"Math, History, English","F, A, B","57, 59, 60"
Andrea,Mendoza,rachelfuentes@example.com,"Math, History, English","C, C, A","68, 65, 82"
Pedro,Morgan,perezgabriela@example.org,"History, English, Math","C, D, C","84, 68, 51"
Caitlin,Huang,robertsjason@example.com,"English, History, Math","B, F, A","51, 98, 53"
Joanna,Bird,wkerr@example.net,"English, Math, History","F, C, A","71, 50, 74"
Julia,Russell,osawyer@example.org,"Math, History, English","D, D, F","65, 73, 51"
Kelly,Smith,audrey29@example.org,"English, History, Math","C, A, C","63, 81, 69"
Michelle,Vaughn,erik14@example.net,"Math, History, English","D, B, F","95, 83, 71"
Scott,Cobb,xmatthews@example.com,"Math, History, English","F, B, F","90, 70, 93"
Christopher,Caldwell,edward29@example.org,"Math, English, History","C, F, D","50, 93, 58"
Kristin,Thomas,piercewilliam@example.com,"Math, English, History","B, A, A","59, 65, 91"
Susan,Gordon,sheila59@example.com,"English, Math, History","F, A, C","67, 74, 99"
Erin,Hall,yorkcarolyn@example.net,"Math, History, English","C, A, F","71, 68, 81"
Kristi,Martin,sarcher@example.net,"Math, History, English","A, D, C","99, 52, 55"
Alicia,Cole,karen47@example.com,"Math, English, History","A, A, F","87, 67, 88"
Lisa,Aguirre,pbarton@example.net,"English, History, Math","A, F, A","54, 57, 93"
Monique,Anderson,antonio78@example.org,"English, History, Math","B, F, C","71, 73, 77"
Brandy,Butler,pooledevon@example.com,"History, English, Math","F, A, C","85, 86, 52"
Jacob,White,hayleycampos@example.net,"History, English, Math","D, B, D","90, 93, 79"
Natalie,Cooper,jstewart@example.net,"Math, English, History","F, F, A","89, 67, 87"
Sean,Smith,gentrydebra@example.com,"Math, History, English","D, A, C","91, 65, 55"
Nicole,Santana,benderjohn@example.org,"Math, English, History","C, B, F","64, 72, 70"
Phillip,Ramirez,novakjohn@example.org,"History, Math, English","D, A, D","82, 84, 94"
Richard,Park,casemaria@example.com,"Math, History, English","A, F, A","62, 63, 75"
Holly,Rivera,melissa41@example.org,"History, English, Math","F, D, C","65, 78, 54"
Christopher,Banks,gjones@example.com,"History, English, Math","F, B, B","90, 62, 86"
Amber,Keller,sylvia59@example.net,"English, History, Math","D, D, B","63, 54, 83"
Rhonda,Hill,thomas81@example.com,"History, Math, English","D, D, D","83, 55, 52"
Molly,Alvarado,kellyrush@example.org,"History, English, Math","C, C, A","77, 85, 91"
Jacob,Wilson,erik25@example.com,"Math, English, History","B, D, D","59, 94, 76"
Amanda,Vance,tiffany08@example.com,"History, Math, English","F, D, D","58, 61, 61"
Victoria,Cunningham,bobbygibson@example.com,"Math, History, English","C, C, B","93, 62, 78"
William,Wilson,lhuerta@example.org,"English, History, Math","F, C, C","52, 50, 78"
Jeremy,Jones,anthonywise@example.net,"English, Math, History","D, B, F","94, 90, 54"
Jack,Lynch,michaelking@example.net,"English, History, Math","B, B, A","98, 68, 90"
Kristina,Sanchez,qblake@example.org,"Math, History, English","C, F, B","93, 96, 57"
Jennifer,Fox,gosborne@example.org,"English, History, Math","B, D, B","82, 64, 95"
Linda,Wagner,dmunoz@example.net,"Math, English, History","A, F, B","55, 77, 98"
Rhonda,Daniel,hilldevin@example.net,"Math, History, English","A, F, F","74, 74, 71"
Jesus,Krause,marshallmichele@example.org,"English, Math, History","C, A, F","95, 97, 78"
George,Sanchez,mosesvictoria@example.com,"History, English, Math","B, A, C","62, 96, 59"
Adam,Benton,oanderson@example.org,"English, History, Math","A, C, F","66, 78, 89"
Karen,Lopez,josephwade@example.net,"History, English, Math","B, A, B","100, 56, 99"
Brandon,Graves,andre54@example.org,"English, History, Math","D, D, A","98, 72, 84"
Katrina,Villarreal,frederickknight@example.org,"English, History, Math","F, D, B","55, 99, 50"
Elizabeth,Kelley,walkerjasmin@example.org,"English, Math, History","D, A, C","79, 87, 92"
Johnny,Jennings,millersheila@example.com,"History, English, Math","B, F, F","94, 87, 53"
Ruben,Smith,vscott@example.net,"History, English, Math","D, C, F","93, 50, 80"
Judy,Williams,juan17@example.org,"English, History, Math","A, A, D","84, 75, 91"
Wesley,Reese,stephengreen@example.org,"Math, English, History","D, B, F","55, 57, 77"
Marie,Delacruz,george92@example.net,"English, History, Math","F, C, C","99, 62, 58"
Sharon,Hill,john84@example.com,"Math, History, English","A, F, F","91, 90, 72"
Wendy,Stokes,wagnerrhonda@example.com,"Math, English, History","D, B, D","67, 84, 79"
David,Evans,pruittvictoria@example.org,"History, Math, English","B, A, F","100, 93, 65"
Katie,Murray,velezmichael@example.net,"English, Math, History","F, C, D","86, 50, 67"
Rebecca,Wilson,brendaroberts@example.net,"History, Math, English","C, D, F","87, 68, 83"
Andrew,Stanton,jasonirwin@example.net,"History, English, Math","B, A, A","99, 59, 95"
Tina,Todd,debra73@example.org,"History, Math, English","A, A, C","82, 74, 84"
Randy,Oliver,phunter@example.org,"English, History, Math","B, A, F","98, 88, 63"
Kevin,Hunt,molson@example.org,"Math, English, History","B, B, F","87, 84, 72"
Laura,Leon,evansbrian@example.com,"History, Math, English","A, A, A","61, 55, 70"
Diane,Welch,douglashenderson@example.org,"Math, English, History","B, D, D","85, 73, 93"
Olivia,Kelley,thomaspowell@example.org,"English, Math, History","A, D, C","78, 72, 84"
Lisa,Lawrence,ehenry@example.org,"History, Math, English","A, C, B","72, 53, 50"
Paula,Lane,omosley@example.net,"English, History, Math","D, A, A","78, 94, 98"
Justin,Boyer,erica71@example.net,"English, History, Math","B, C, C","77, 65, 83"
Carmen,Robles,romanjames@example.org,"English, History, Math","C, A, C","78, 63, 93"
Bridget,Thomas,james37@example.org,"Math, English, History","A, F, F","91, 99, 63"
Tina,Morales,elizabethsantos@example.com,"History, Math, English","B, B, A","95, 58, 51"
Jason,Dunn,diazjames@example.org,"English, Math, History","D, A, A","65, 87, 58"
Jennifer,Burns,ericadams@example.com,"History, English, Math","F, B, F","65, 86, 90"
Tiffany,Cooper,sabrinaperry@example.com,"Math, English, History","F, D, C","81, 72, 64"
Lori,Yates,brandimiller@example.org,"Math, English, History","A, B, F","77, 59, 69"
Nicole,Stark,camachokenneth@example.net,"English, Math, History","F, F, F","86, 80, 98"
Ashley,Mitchell,alicia06@example.net,"Math, English, History","B, A, C","65, 88, 58"
Lisa,Ford,teresablackburn@example.com,"Math, History, English","C, D, A","69, 68, 50"
Karen,Calderon,rogersjessica@example.com,"English, History, Math","D, B, A","69, 80, 73"
Joshua,Villanueva,popenichole@example.net,"Math, English, History","A, A, C","56, 69, 56"
Jacqueline,Clark,xlin@example.net,"Math, English, History","F, F, C","93, 58, 63"
Valerie,Villegas,ghiggins@example.net,"Math, English, History","D, B, F","55, 52, 77"
Anthony,Moody,estradajerry@example.org,"History, English, Math","A, A, C","59, 91, 60"
Daisy,Dixon,shannon95@example.net,"English, Math, History","C, D, D","67, 100, 80"
Kaitlyn,Ferguson,xbrock@example.org,"History, Math, English","C, D, F","79, 52, 85"
Amanda,Gonzalez,yarroyo@example.net,"Math, History, English","A, B, A","85, 94, 80"
Jose,Johnson,amandasoto@example.org,"Math, English, History","B, C, A","69, 50, 70"
Maria,Odom,kylegarrison@example.net,"History, Math, English","B, B, C","63, 65, 84"
Amanda,West,arroyodavid@example.org,"English, Math, History","C, C, D","68, 80, 60"
Melissa,Foster,brian10@example.org,"History, Math, English","F, A, C","61, 60, 84"
Dawn,Wolf,eric58@example.net,"Math, History, English","A, C, F","73, 53, 80"
Dean,Santos,tgreene@example.org,"English, History, Math","F, C, F","86, 55, 68"
Shannon,Lopez,jessica63@example.net,"English, Math, History","B, A, A","64, 81, 60"
Matthew,Jordan,sandersmichelle@example.net,"English, Math, History","D, C, D","91, 76, 94"
Ryan,Alvarado,justin40@example.net,"Math, English, History","D, A, C","51, 91, 83"
Henry,Lopez,michelle15@example.net,"Math, English, History","D, F, F","61, 79, 96"
Anthony,Williams,hsmith@example.net,"English, Math, History","A, A, D","87, 66, 63"
Shane,Chandler,dhenry@example.org,"English, History, Math","C, F, A","74, 65, 57"
Gary,Jackson,imendez@example.org,"English, Math, History","B, C, F","83, 87, 96"
Eric,Graves,dodsonrandy@example.net,"Math, History, English","A, C, C","63, 100, 87"
Rebecca,Green,smithelizabeth@example.org,"Math, History, English","B, B, C","88, 53, 70"
Jessica,Miller,sheribarber@example.com,"Math, History, English","D, B, D","78, 85, 92"
Natalie,Molina,crystal87@example.com,"English, Math, History","A, A, A","93, 94, 60"
Michele,Shields,petercoleman@example.com,"History, Math, English","D, D, A","91, 92, 80"
Ashlee,Sweeney,daniel61@example.com,"History, Math, English","A, B, A","81, 94, 90"
Shannon,Simmons,opowers@example.com,"History, English, Math","C, A, A","80, 92, 75"
Eric,Clark,gparks@example.com,"English, History, Math","F, A, A","82, 58, 53"
Joseph,Parker,geraldjohnson@example.com,"English, History, Math","F, C, C","93, 91, 99"
Natasha,Tapia,pnichols@example.net,"History, English, Math","D, D, C","100, 60, 86"
David,Jefferson,maria14@example.com,"Math, History, English","B, B, D","55, 88, 60"
Alicia,Hansen,dgardner@example.com,"English, Math, History","C, D, F","70, 98, 71"
Michael,Wallace,ywilson@example.org,"Math, History, English","F, B, D","75, 54, 85"
Sergio,Miller,bethreid@example.org,"English, Math, History","B, B, B","51, 53, 81"
Steven,Cohen,joelhiggins@example.com,"English, Math, History","F, B, F","82, 60, 82"
Desiree,Reynolds,kristin82@example.org,"Math, English, History","C, C, C","79, 71, 84"
Allen,Gonzales,amartin@example.com,"English, Math, History","D, D, C","59, 62, 100"
Jean,Kramer,andersonmonique@example.com,"English, Math, History","A, F, F","97, 67, 90"
Luis,Park,megan25@example.net,"Math, History, English","F, B, D","79, 91, 55"
Gary,Kirby,carlos22@example.com,"English, History, Math","B, D, A","54, 87, 61"
Daniel,Scott,vgonzalez@example.org,"English, History, Math","D, B, D","83, 79, 88"
Michael,Evans,ronald42@example.org,"English, History, Math","A, D, D","88, 50, 92"
Christopher,Owens,madelineburns@example.net,"Math, English, History","C, A, B","58, 100, 76"
Brian,Stephens,james68@example.com,"History, English, Math","F, D, A","91, 76, 68"
Kelli,Crawford,joshuabennett@example.com,"History, Math, English","A, B, D","70, 84, 55"
Michelle,Mays,joseph33@example.com,"English, History, Math","B, F, B","92, 92, 75"
Craig,Moore,xriley@example.net,"History, English, Math","A, D, A","87, 72, 79"
Laura,Mathews,mariohill@example.net,"Math, English, History","F, D, A","86, 65, 53"
Brenda,Eaton,ashleyyoung@example.com,"English, History, Math","D, B, F","89, 71, 85"
Joshua,Hunter,masondebra@example.com,"English, History, Math","D, F, B","68, 97, 81"
Nancy,Baker,howardbrianna@example.org,"Math, English, History","B, D, B","50, 71, 58"
Lindsay,Lewis,chrisbell@example.com,"History, English, Math","A, F, A","96, 63, 66"
Melissa,Porter,guerrerosean@example.org,"English, Math, History","D, D, F","94, 53, 98"
Michael,Beasley,timothycooper@example.org,"Math, History, English","C, F, A","82, 86, 66"
Ronald,Moore,brianhinton@example.com,"History, English, Math","B, D, C","68, 53, 59"
Steven,Hernandez,douglasgibson@example.org,"History, Math, English","B, F, D","76, 87, 60"
Janet,Gonzalez,edwardrichards@example.net,"English, History, Math","D, C, A","72, 57, 61"
Alison,Baird,brittany69@example.org,"Math, English, History","F, A, F","89, 75, 73"
Christopher,Moyer,stephaniecummings@example.com,"Math, History, English","C, C, A","63, 80, 96"
Charles,Maldonado,harrisonmonique@example.com,"English, Math, History","C, B, A","80, 98, 99"
Kevin,Miller,mjohnson@example.net,"History, Math, English","A, A, B","80, 74, 73"
Heidi,Khan,nsexton@example.net,"Math, English, History","D, F, F","73, 69, 88"
Sonia,Hess,badkins@example.org,"History, English, Math","F, D, B","94, 76, 72"
Kelly,Rogers,gdouglas@example.org,"English, History, Math","F, C, A","93, 69, 94"
Bryce,Perry,shawjames@example.com,"Math, History, English","F, A, D","79, 60, 87"
Justin,Hoffman,ushort@example.com,"Math, History, English","A, A, F","78, 59, 80"
Rebecca,Gonzales,jonathan24@example.org,"History, Math, English","C, A, F","68, 69, 98"
Michael,Vaughan,heathermiller@example.org,"Math, History, English","C, D, B","79, 74, 89"
Jill,Brown,rholmes@example.com,"History, English, Math","A, F, B","88, 93, 89"
Adrienne,Sherman,holdenmichael@example.org,"Math, English, History","D, F, C","88, 85, 54"
Jason,Melton,flynnshannon@example.net,"English, History, Math","C, A, A","95, 62, 86"
Judith,Williams,zrhodes@example.net,"Math, English, History","C, D, D","80, 86, 68"
Alejandra,Anderson,rbrooks@example.com,"History, English, Math","B, B, C","86, 90, 70"
Christina,Sawyer,edwardtate@example.org,"Math, English, History","B, B, C","65, 55, 51"
Andrea,Mckenzie,cpadilla@example.org,"Math, History, English","B, A, B","91, 67, 73"
Edward,Orozco,mooresusan@example.net,"History, Math, English","B, B, D","86, 74, 79"
Christina,Bradley,rdavis@example.com,"Math, English, History","A, D, D","60, 59, 66"
Paula,Robinson,kmurphy@example.org,"Math, History, English","D, C, C","98, 66, 53"
Cynthia,Hurst,greenmaria@example.org,"Math, English, History","B, F, A","79, 57, 70"
Robert,Diaz,kurtwatkins@example.net,"English, Math, History","B, A, B","75, 77, 79"
Ann,Thomas,richardvazquez@example.net,"Math, History, English","C, B, C","94, 78, 61"
Elizabeth,Lee,cameron61@example.org,"Math, History, English","D, B, A","66, 80, 99"
Lindsay,Johnson,heidi02@example.com,"History, English, Math","D, F, B","96, 66, 56"
Tina,Summers,tevans@example.net,"Math, English, History","D, C, C","96, 69, 73"
Aaron,Glenn,tclark@example.com,"Math, History, English","F, D, B","79, 83, 55"
Joshua,Patel,gallegoszachary@example.net,"English, Math, History","F, F, F","82, 85, 97"
Erin,Weber,anthony07@example.org,"History, Math, English","F, F, B","50, 90, 84"
William,Rosales,ubrown@example.org,"English, History, Math","A, D, B","51, 76, 78"
Kayla,Carr,holtnicholas@example.net,"History, English, Math","B, A, F","52, 57, 55"
Nicole,Lopez,tiffanyreyes@example.org,"History, Math, English","F, F, D","54, 74, 80"
Justin,Reed,matthewwilliams@example.net,"Math, History, English","A, A, D","99, 66, 94"
Elizabeth,Peters,william49@example.net,"Math, History, English","D, A, F","68, 90, 91"
Chase,Carroll,millerphillip@example.com,"English, Math, History","F, B, F","67, 62, 63"
Kim,Hickman,paulmontgomery@example.com,"History, English, Math","F, D, B","67, 57, 83"
Cameron,Carter,gsmall@example.org,"Math, English, History","B, C, D","75, 93, 77"
Joyce,Woodard,tmitchell@example.net,"English, History, Math","C, F, A","62, 60, 76"
Karen,Garrett,lisa24@example.net,"History, English, Math","A, C, F","54, 53, 88"
Samantha,Rodriguez,mariamarshall@example.net,"History, English, Math","B, D, F","60, 77, 81"
Sue,Hernandez,xfigueroa@example.net,"Math, History, English","B, D, F","72, 58, 85"
Jordan,Zamora,cardenasjessica@example.net,"English, History, Math","F, C, A","93, 80, 93"
James,Gill,masonlaura@example.net,"History, Math, English","F, C, B","100, 52, 100"
Brandon,Arnold,jacquelinesmith@example.com,"Math, History, English","A, B, B","67, 54, 60"
Bryan,Fuller,zdelgado@example.net,"Math, English, History","B, F, D","75, 53, 97"
Manuel,Tucker,paul18@example.net,"History, Math, English","D, C, C","64, 60, 97"
Jeffrey,Porter,combsmichelle@example.org,"English, History, Math","B, B, A","63, 91, 94"
Jean,White,sarah09@example.org,"English, History, Math","C, F, D","74, 56, 66"
Ashley,Warren,lryan@example.org,"Math, English, History","A, A, D","85, 95, 93"
Rhonda,Ashley,dwilson@example.org,"History, Math, English","B, D, C","82, 92, 71"
Lance,Simmons,michaeldelgado@example.net,"History, Math, English","D, C, F","74, 58, 99"
Samantha,Smith,wyattrobert@example.net,"English, Math, History","A, B, B","69, 92, 96"
Kelsey,West,jakewatkins@example.com,"Math, English, History","C, B, D","95, 67, 68"
Kimberly,Phillips,donaldmyers@example.com,"History, English, Math","C, C, D","60, 50, 62"
Daniel,Allen,jbrooks@example.net,"English, Math, History","C, F, B","64, 96, 98"
Anna,Obrien,crystalriley@example.net,"History, English, Math","A, A, B","99, 74, 90"
Sandra,Castaneda,xbailey@example.org,"Math, History, English","D, D, F","65, 83, 63"
Jennifer,Crawford,stevenpotts@example.net,"English, History, Math","B, D, C","91, 57, 54"
Heather,Valentine,karen74@example.com,"Math, History, English","A, D, C","81, 82, 78"
Ashley,Price,allison65@example.net,"History, English, Math","C, C, F","55, 92, 82"
Robert,Gordon,tross@example.net,"Math, English, History","A, D, F","87, 83, 80"
Kyle,Hudson,riveranicole@example.net,"History, English, Math","A, A, F","55, 62, 82"
Jennifer,Horton,markperez@example.net,"English, Math, History","C, B, B","71, 72, 99"
Michael,Hensley,johngray@example.org,"History, Math, English","B, D, B","98, 73, 94"
Philip,Edwards,brian57@example.net,"English, History, Math","A, A, F","83, 54, 50"
Brooke,Cook,deborahewing@example.net,"History, English, Math","B, F, B","83, 61, 79"
John,Perez,eddiebailey@example.org,"Math, English, History","F, D, F","60, 97, 51"
Elizabeth,Brown,aaronmueller@example.org,"English, History, Math","D, C, B","50, 80, 71"
Jessica,Todd,dawnstevenson@example.com,"Math, History, English","D, B, F","82, 96, 100"
Megan,Miller,shane40@example.org,"English, History, Math","A, A, F","87, 83, 59"
Shelby,Arellano,gregory99@example.net,"Math, History, English","D, A, D","71, 70, 95"
Brandon,Shepard,scott04@example.net,"History, Math, English","C, C, B","64, 57, 59"
Teresa,Powell,jeremyclark@example.net,"History, English, Math","B, F, B","59, 79, 55"
Daniel,Ware,rburnett@example.com,"Math, History, English","D, F, B","70, 70, 87"
Jessica,Brown,jennifer22@example.org,"History, Math, English","A, D, A","54, 61, 59"
John,Morgan,jeffreyperez@example.com,"History, Math, English","B, D, F","56, 80, 98"
Kevin,Johnson,morgansteven@example.net,"English, History, Math","D, F, D","61, 72, 65"
Jackson,Marsh,charles08@example.com,"Math, History, English","F, C, F","81, 51, 70"
Zachary,Rodriguez,elizabeth75@example.org,"Math, English, History","A, C, D","98, 99, 73"
Rebecca,Rodriguez,hahnjacqueline@example.net,"Math, History, English","B, A, B","66, 60, 64"
Corey,Walker,jennifer84@example.com,"Math, English, History","D, D, D","64, 83, 55"
Melissa,Love,cheryl39@example.com,"English, Math, History","D, C, B","90, 87, 78"
Cynthia,Baker,paynebrooke@example.net,"Math, English, History","B, C, A","89, 78, 68"
Anthony,Evans,sconway@example.com,"English, History, Math","B, B, B","67, 94, 76"
Melissa,Drake,thomasmichelle@example.net,"Math, English, History","F, F, D","55, 73, 78"
Kristi,Burns,nicole56@example.com,"History, English, Math","F, C, D","81, 55, 61"
Megan,Hansen,samantha92@example.net,"English, History, Math","B, F, B","81, 82, 100"
Joel,Ryan,david35@example.net,"English, Math, History","C, D, A","94, 84, 98"
Christina,Perry,anthonywilson@example.com,"Math, English, History","D, F, B","52, 87, 52"
Michael,Ward,stephen97@example.com,"English, History, Math","F, F, A","78, 75, 80"
Kristine,Cunningham,mariolindsey@example.com,"English, History, Math","D, A, B","97, 81, 100"
Scott,Fernandez,laura45@example.org,"History, English, Math","C, B, D","65, 70, 74"
Mary,Floyd,jamie63@example.org,"Math, History, English","D, A, B","64, 66, 73"
Michael,Guzman,coopertiffany@example.com,"History, Math, English","B, B, B","81, 82, 70"
Christine,Mcclure,maldonadocarl@example.com,"History, Math, English","C, A, F","99, 53, 90"
Heather,May,cynthiajohnson@example.org,"Math, English, History","D, A, C","88, 98, 77"
Ryan,Nichols,aaron55@example.net,"History, Math, English","B, F, B","77, 99, 70"
Kristy,Green,jacquelinemiddleton@example.com,"History, Math, English","A, B, F","85, 79, 85"
Gwendolyn,Sanford,zhughes@example.net,"English, Math, History","C, A, B","80, 92, 58"
Robert,Johnson,brianscott@example.com,"Math, English, History","B, B, C","87, 71, 76"
Russell,Farmer,richardcuevas@example.org,"Math, English, History","D, F, C","62, 95, 50"
Marissa,Adams,sarahrichards@example.net,"Math, English, History","A, F, C","82, 77, 99"
Jennifer,Smith,paulahall@example.net,"English, Math, History","B, A, A","77, 95, 92"
Bradley,Jones,matthewmedina@example.net,"English, Math, History","B, D, F","60, 52, 88"
Vincent,Shepard,kbryant@example.net,"Math, English, History","A, C, A","63, 62, 75"
Tina,Frey,lauraking@example.net,"English, History, Math","A, F, D","56, 60, 77"
Jackie,Gutierrez,kyle79@example.net,"Math, History, English","B, B, C","73, 74, 60"
Craig,Bryant,sharoncarrillo@example.net,"History, Math, English","C, C, F","54, 95, 52"
Linda,Phillips,ginaevans@example.net,"Math, History, English","F, F, D","99, 91, 93"
Kristy,Hammond,jerry67@example.org,"Math, History, English","B, D, F","50, 69, 85"
Mallory,Wilson,hgomez@example.com,"English, History, Math","F, F, A","55, 68, 51"
Brooke,Frederick,sean53@example.org,"History, Math, English","B, B, A","90, 84, 79"
Marcus,Burgess,kennethlee@example.net,"History, English, Math","C, C, F","66, 82, 84"
Aaron,Scott,ericjones@example.org,"History, Math, English","A, C, D","59, 84, 61"
Ashley,Taylor,jimmykidd@example.net,"History, English, Math","C, D, F","69, 53, 74"
Danielle,Anderson,fischerbrandon@example.org,"English, History, Math","F, F, B","65, 92, 53"
Matthew,Hall,parkmiranda@example.com,"Math, English, History","F, A, F","95, 55, 73"
Monica,Allison,gjenkins@example.com,"Math, English, History","C, B, C","56, 79, 88"
Jesse,Perez,nrussell@example.org,"Math, History, English","C, A, C","96, 65, 60"
Jennifer,Adams,pennycook@example.com,"English, Math, History","A, F, F","55, 70, 83"
Megan,Washington,erica93@example.net,"History, English, Math","C, C, B","90, 68, 77"
Stephanie,Brown,sgordon@example.org,"English, History, Math","D, F, D","62, 59, 75"
Nathan,Hoffman,uschneider@example.org,"History, English, Math","D, C, F","56, 80, 88"
Holly,Gonzalez,michellesalinas@example.com,"History, Math, English","B, A, F","54, 90, 69"
Brian,Baldwin,wilsontiffany@example.net,"English, Math, History","C, C, C","80, 57, 51"
Robert,Weiss,jasonsullivan@example.org,"English, Math, History","F, F, A","66, 89, 97"
Johnny,Woods,nhernandez@example.com,"English, Math, History","F, C, A","77, 88, 95"
Jose,Hunt,jthomas@example.net,"Math, History, English","A, F, D","61, 71, 80"
Cody,Fields,ericareyes@example.net,"History, English, Math","F, A, A","98, 92, 61"
Chloe,Moore,david93@example.org,"Math, History, English","F, A, F","56, 63, 99"
Matthew,Ellis,laurie60@example.org,"History, Math, English","F, D, C","50, 84, 77"
Christina,Carlson,ramirezbradley@example.org,"History, English, Math","A, B, B","56, 60, 62"
Craig,Bailey,travis67@example.com,"English, History, Math","A, B, B","61, 51, 70"
Amanda,Jackson,mbrown@example.com,"History, Math, English","F, C, F","53, 77, 98"
Crystal,Bush,dbrown@example.net,"History, English, Math","A, C, D","83, 94, 52"
Jasmine,Williams,randyvillegas@example.com,"Math, English, History","C, B, C","76, 65, 55"
Amy,Cox,vjimenez@example.org,"History, Math, English","C, A, A","55, 61, 50"
Lindsey,Jenkins,wrichardson@example.net,"Math, History, English","B, B, C","68, 88, 91"
David,Rose,tammythompson@example.com,"English, Math, History","F, F, B","63, 69, 73"
Christian,Hines,xhughes@example.com,"Math, English, History","B, C, B","71, 86, 78"
Amanda,Harris,bhensley@example.com,"History, English, Math","C, B, A","75, 68, 69"
William,Allen,david53@example.net,"Math, English, History","D, C, C","54, 59, 56"
Andrew,Howard,boydfrank@example.net,"English, History, Math","C, D, F","56, 97, 62"
Elizabeth,Gutierrez,brodriguez@example.net,"Math, English, History","B, C, B","80, 72, 82"
Robert,Bryant,michellebrown@example.com,"Math, English, History","D, B, F","59, 86, 70"
Benjamin,Thomas,pwilliams@example.org,"History, Math, English","C, C, F","96, 71, 93"
Christopher,Williams,vwatkins@example.com,"English, History, Math","B, A, F","81, 72, 80"
Michael,Mccormick,gadams@example.com,"English, Math, History","F, D, A","87, 92, 75"
Clarence,Sanchez,boothmichelle@example.org,"Math, History, English","D, F, C","53, 82, 87"
Richard,Gray,kgentry@example.com,"Math, English, History","D, F, F","81, 66, 80"
Angelica,Anderson,adam11@example.com,"English, History, Math","F, A, F","85, 68, 93"
Jose,King,hfarmer@example.net,"Math, English, History","A, D, F","99, 70, 58"
Anne,Smith,qrichards@example.com,"History, Math, English","A, B, B","51, 52, 55"
Kathryn,Watson,daniel76@example.net,"Math, English, History","C, F, C","86, 67, 50"
James,Thompson,josephleslie@example.net,"History, English, Math","C, D, D","86, 79, 52"
Michael,Rodriguez,terryjohnson@example.com,"Math, History, English","A, D, C","94, 69, 59"
Caleb,Dunn,tsingh@example.com,"History, English, Math","A, C, C","100, 89, 76"
Jill,Crosby,anne72@example.net,"History, Math, English","A, F, D","61, 83, 69"
Amy,Barnes,melissa78@example.org,"Math, History, English","A, A, B","56, 88, 87"
Timothy,Wells,fmeza@example.com,"History, Math, English","C, A, D","60, 98, 67"
Taylor,Cisneros,princejohn@example.net,"History, English, Math","F, B, D","71, 75, 72"
Nathaniel,Blair,millerkarl@example.com,"History, English, Math","F, B, B","82, 83, 100"
Rebecca,Foster,bgardner@example.net,"Math, English, History","A, F, B","60, 60, 62"
Robert,Love,ryanlong@example.net,"Math, English, History","B, C, C","93, 57, 84"
Joshua,Garrett,andrewgardner@example.com,"Math, English, History","A, C, F","95, 99, 62"
Joseph,Sims,jeromejones@example.net,"English, History, Math","A, C, D","60, 63, 95"
Ryan,Rivas,zyang@example.net,"History, English, Math","F, A, F","89, 73, 68"
Tracey,Rodriguez,matthew87@example.net,"Math, History, English","B, C, C","88, 75, 95"
